订阅月费：$0–30（含 $30）
订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月          服务模型                      月额度(亿)  $/MTok   置信度
60    Command Code GOAT                  USD 10           MiMo V2.5 Pro                 10.685      0.00936  medium
61    Command Code GOAT                  USD 10           MiMo V2.6 Pro                 10.685      0.00936  medium
62    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.6 Pro                 10.64       0.01504  medium
63    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.5 Pro                 10.64       0.01504  medium
64    OpenCode Go                        USD 10           Qwen3.7 Plus                  10.563      0.00947  medium
65    ChatGPT Plus                       USD 20           GPT-6 Sol                     10.48       0.01908  high
66    OpenCode Go                        USD 10           gpt-6-luna                    10.204      0.0098   medium
67    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）   MiMo V2.6 Flash               9.42        0.00637  medium
68    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）   MiMo V2.5                     9.42        0.00637  medium
69    GLM Coding Lite (v3 ¥118) 中间值   CNY 118          GLM 5.3 Flash                 9.36        0.0186   high
70    GLM Coding Lite (v2 ¥49) 中间值    CNY 49           GLM 5.3 Flash                 9.36        0.00772  high
71    Command Code GOAT                  USD 10           qwen3.8-omni-flash            9.251       0.01081  medium
72    Command Code GOAT                  USD 10           Qwen3.8 Flash                 9.145       0.01093  medium
73    Step Plan Mini (¥49)               CNY 49           Step 3.7 Flash                8.588       0.00842  medium
74    Command Code GOAT                  USD 10           Step 3.5 Flash                8.547       0.0117   medium
75    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.6 Pro                 8.51        0.0188   medium
76    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.5 Pro                 8.51        0.0188   medium
77    OpenCode Go                        USD 10           MiniMax M3                    8.368       0.01195  medium
78    OpenCode Go                        USD 10           MiniMax M2.7                  8.368       0.01195  medium
79    OpenCode Go                        USD 10           MiniMax M2.5                  8.368       0.01195  medium
80    Ollama Pro                         USD 20           MiniMax M2.7                  8.368       0.0239   medium
81    OpenCode Go                        USD 10           MiMo V2.5 Pro                 8.004       0.01249  medium
82    OpenCode Go                        USD 10           MiMo V2.6 Pro                 8.004       0.01249  medium
83    OpenCode Go                        USD 10           Qwen3.6 Plus                  7.895       0.01267  medium
84    MiMo Token Plan Lite 日间          ¥39（国际 $6）   MiMo V2.6 Flash               7.54        0.00796  medium
85    MiMo Token Plan Lite 日间          ¥39（国际 $6）   MiMo V2.5                     7.54        0.00796  medium
86    Command Code GOAT                  USD 10           GPT 5.6 Luna                  6.579       0.0152   medium
87    Command Code GOAT                  USD 10           MiniMax M3                    6.555       0.01526  medium
88    GLM Coding Lite (v3 ¥118) 忙时     CNY 118          GLM 5.3 Flash                 6.24        0.0279   high
89    GLM Coding Lite (v2 ¥49) 忙时      CNY 49           GLM 5.3 Flash                 6.24        0.01158  high
90    ChatGPT Plus                       USD 20           GPT 5.6 Sol                   6.16        0.03247  medium
91    MiniMax Token Plan Plus            CNY 49           MiniMax M3                    6           0.01205  high
92    MiniMax Token Plan Plus            CNY 49           MiniMax M2.7                  6           0.01205  medium
93    SuperGrok                          USD 30           Grok 4.6                      5.09        0.05894  high
94    SuperGrok                          USD 30           Grok 4.5                      5.09        0.05894  medium
95    SuperGrok                          USD 30           Grok 4.7                      4.97        0.06036  medium
96    OpenCode Go                        USD 10           GPT 5.6 Luna                  4.934       0.02027  medium
97    ChatGPT Plus                       USD 20           GPT 5.5                       4.766       0.04196  medium
98    Cursor Pro                         USD 20           Grok 4.6                      4.7         0.04255  medium
99    Command Code GOAT                  USD 10           MiniMax M2.5                  4.695       0.0213   medium
100   Command Code GOAT                  USD 10           DeepSeek V4 Pro               4.189       0.02387  medium
101   Ollama Pro                         USD 20           MiniMax M3                    4.184       0.0478   medium
102   Cursor Pro (Composer Fast)         USD 20           Composer 2.5                  4.182       0.04782  medium
103   GLM Coding Lite (v3 ¥118) 闲时     CNY 118          GLM 5.3                       4.12        0.04225  high
104   GLM Coding Lite (v2 ¥49) 闲时      CNY 49           GLM 5.3                       4.12        0.01754  high
105   OpenCode Go                        USD 10           Hy4 Preview                   4.049       0.0247   medium
