Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97.5% cache / 2.15% input / 0.35% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                Monthly tokens (B)  USD/MTok  Confidence
56   OpenCode Go                            USD 10          Qwen3.8 Flash               1.4656              0.00682   medium
57   MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.6 Flash             2.292               0.00698   medium
58   MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.5                   2.292               0.00698   medium
59   MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.6 Flash             0.854               0.00703   medium
60   MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.5                   0.854               0.00703   medium
61   GLM Coding Lite (v2 ¥49) Midpoint      CNY 49          GLM 5.3 Flash               0.962               0.00751   high
62   OpenCode Go                            USD 10          Omen Alpha                  1.3155              0.0076    medium
63   GLM Coding Max (v2 ¥469) Peak          CNY 469         GLM 5.3 Flash               8.982               0.0077    high
64   Command Code GOAT                      USD 10          MiMo V2.5 Pro               1.2573              0.00795   medium
65   Command Code GOAT                      USD 10          MiMo V2.6 Pro               1.2573              0.00795   medium
66   ChatGPT Pro 20x                        USD 200         GPT 5.6 Terra               25.1589             0.00795   medium
67   Step Plan Mini (¥49)                   CNY 49          Step 3.7 Flash              0.8779              0.00823   medium
68   DeepSeek V4.1 Flash API Off-peak       Pay-as-you-go   DeepSeek V4.1 Flash         -                   0.00825   high
69   Command Code GOAT                      USD 10          Qwen3.8 27B                 1.2048              0.0083    medium
70   Command Code GOAT                      USD 10          GLM 5.3 Flash               1.1687              0.00856   medium
71   GLM Coding Pro (v2 ¥149) Off-peak      CNY 149         GLM 5.3                     2.54                0.00865   high
72   GLM Coding Max (v3 ¥1078) Off-peak     CNY 1078        GLM 5.3 Flash               17.965              0.00885   high
73   OpenCode Go                            USD 10          Qwen3.7 Plus                1.1278              0.00887   medium
74   Google AI Pro                          USD 19.99       Gemini 3.8 Flash            2.241               0.00892   high
75   Google AI Ultra 5x                     USD 99.99       Gemini 3.8 Flash            11.205              0.00892   low
76   MiniMax Token Plan Ultra               CNY 469         MiniMax M3                  7.1                 0.00974   high
77   MiniMax Token Plan Max                 CNY 119         MiniMax M3                  1.8                 0.00975   high
78   Cursor Ultra (Standard)                USD 200         Composer 2.5                19.8926             0.01005   medium
79   GLM Coding Pro (v3 ¥538) Off-peak      CNY 538         GLM 5.3 Flash               7.699               0.01031   high
80   Command Code GOAT                      USD 10          Qwen3.8 Flash               0.9669              0.01034   medium
81   OpenCode Go                            USD 10          MiMo V2.5 Pro               0.9415              0.01062   medium
82   OpenCode Go                            USD 10          MiMo V2.6 Pro               0.9415              0.01062   medium
83   Claude Pro                             USD 20          Claude Opus 5               1.878               0.01065   high
84   Claude Pro                             USD 20          Claude Opus 4.8             1.878               0.01065   low
85   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.6 Pro               9.329               0.01072   medium
86   MiMo Token Plan Max (Night 0.8x)       $100 · CN ¥659  MiMo V2.5 Pro               9.329               0.01072   medium
87   MiniMax Token Plan Max (Global)        USD 55          MiniMax M3                  5.1                 0.01078   high
88   GLM Coding Lite (v2 ¥49) Peak          CNY 49          GLM 5.3 Flash               0.642               0.01126   high
89   Cursor Pro+ (Standard)                 USD 60          Composer 2.5                5.3047              0.01131   low
90   Command Code GOAT                      USD 10          Step 3.5 Flash              0.8811              0.01135   medium
91   Ollama Pro                             USD 20          GLM 5.3 Flash               1.7531              0.01141   medium
92   Ollama Max                             USD 100         GLM 5.3 Flash               8.7655              0.01141   medium
93   OpenCode Go                            USD 10          MiniMax M3                  0.8677              0.01152   medium
94   OpenCode Go                            USD 10          MiniMax M2.7                0.8677              0.01152   medium
95   OpenCode Go                            USD 10          MiniMax M2.5                0.8677              0.01152   medium
96   GLM Coding Pro (v2 ¥149) Midpoint      CNY 149         GLM 5.3                     1.905               0.01154   high
97   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.6 Pro               4.323               0.01157   medium
98   MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.5 Pro               4.323               0.01157   medium
99   OpenCode Go                            USD 10          Qwen3.6 Plus                0.8571              0.01167   medium
100  GLM Coding Max (v2 ¥469) Off-peak      CNY 469         GLM 5.3                     5.926               0.01168   high
101  GLM Coding Max (v3 ¥1078) Midpoint     CNY 1078        GLM 5.3 Flash               13.473              0.0118    high
102  MiniMax Token Plan Plus                CNY 49          MiniMax M3                  0.6                 0.01205   high
103  MiniMax Token Plan Plus                CNY 49          MiniMax M2.7                0.6                 0.01205   medium
104  Step Plan Plus (¥99)                   CNY 99          Step 5 Preview              1.1486              0.01272   high
105  Claude Max 20x (9/14+)                 USD 200         Claude Opus 5               15.7                0.01274   medium
106  Claude Max 5x (9/14+)                  USD 100         Claude Opus 5               7.85                0.01274   medium
107  Claude Max 20x (9/14+)                 USD 200         Claude Opus 4.8             15.7                0.01274   low
108  MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.6 Pro               1.251               0.01279   medium
109  MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.5 Pro               1.251               0.01279   medium
110  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.6 Pro               0.466               0.01288   medium
111  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.5 Pro               0.466               0.01288   medium
