Monthly subscription fee: $0–30 (inclusive)
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee   Served model                Monthly tokens (B)  USD/MTok  Confidence
---  -------------------------------------  ------------  --------------------------  ------------------  --------  ----------
1    Step Plan Pro (¥199)                   CNY 199       Step 3.5 Flash              34.9498             0.00084   medium
2    Step Plan Pro (¥199)                   CNY 199       Step 3.7 Flash              17.5583             0.00167   medium
3    OpenCode Go                            USD 10        Muse Spark 1.3 Contributor  12.5                0.0008    medium
4    OpenCode Go                            USD 10        Muse Spark 1.2 Contributor  12.5                0.0008    medium
5    OpenCode Go                            USD 10        MiMo V2.5                   8.9286              0.00112   medium
6    OpenCode Go                            USD 10        MiMo V2.6 Flash             8.9286              0.00112   medium
7    GLM Coding Pro (v2 ¥149) Off-peak      CNY 149       GLM 5.3 Flash               7.699               0.00285   high
8    ChatGPT Plus                           USD 20        GPT 5.6 Luna                7.511               0.00266   high
9    Ollama Pro                             USD 20        DeepSeek V4.1 Flash         7.2727              0.00275   medium
10   Step Plan Plus (¥99)                   CNY 99        Step 3.5 Flash              6.99                0.00209   medium
11   GLM Coding Pro (v2 ¥149) Midpoint      CNY 149       GLM 5.3 Flash               5.774               0.00381   high
