Monthly subscription fee: $0–30 (inclusive)
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee   Served model                Monthly tokens (B)  USD/MTok  Confidence
12   Step Plan Pro (¥199)                   CNY 199       Step 5 Preview              5.743               0.00511   medium
13   Command Code GOAT                      USD 10        DeepSeek V4.1 Flash         4.8485              0.00206   medium
14   Claude Pro                             USD 20        Claude Sonnet 5             4.695               0.00426   medium
15   Command Code GOAT                      USD 10        MiMo V2.5                   4.4643              0.00224   medium
16   Command Code GOAT                      USD 10        MiMo V2.6 Flash             4.4643              0.00224   medium
17   Ollama Pro                             USD 20        DeepSeek V4 Flash           4.3274              0.00462   medium
18   Command Code GOAT                      USD 10        Muse Spark 1.3 Contributor  4.1667              0.0024    medium
19   Command Code GOAT                      USD 10        Muse Spark 1.2 Contributor  4.1667              0.0024    medium
20   GLM Coding Pro (v2 ¥149) Peak          CNY 149       GLM 5.3 Flash               3.85                0.00571   high
21   OpenCode Go                            USD 10        LongCat 2.0                 3.6364              0.00275   medium
22   Step Plan Plus (¥99)                   CNY 99        Step 3.7 Flash              3.5117              0.00416   medium
23   GLM Coding Pro (v2 ¥149) Off-peak      CNY 149       GLM 5.3                     2.54                0.00865   high
24   Google AI Pro                          USD 19.99     Gemini 3.8 Flash            2.241               0.00892   high
25   GLM Coding Pro (v2 ¥149) Midpoint      CNY 149       GLM 5.3                     1.905               0.01154   high
26   Claude Pro                             USD 20        Claude Opus 5               1.878               0.01065   high
27   Claude Pro                             USD 20        Claude Opus 4.8             1.878               0.01065   low
28   OpenCode Go                            USD 10        DeepSeek V4.1 Flash         1.8182              0.0055    medium
29   MiniMax Token Plan Max                 CNY 119       MiniMax M3                  1.8                 0.00975   high
30   Command Code GOAT                      USD 10        Hy3                         1.7873              0.0056    medium
31   Ollama Pro                             USD 20        GLM 5.3 Flash               1.7531              0.01141   medium
32   Step Plan Mini (¥49)                   CNY 49        Step 3.5 Flash              1.7475              0.00414   medium
33   MiniMax Token Plan Plus (Global)       USD 22        MiniMax M3                  1.7                 0.01294   high
34   MiniMax Token Plan Plus (Global)       USD 22        MiniMax M2.7                1.7                 0.01294   medium
35   OpenCode Go                            USD 10        Hy3                         1.532               0.00653   medium
36   OpenCode Go                            USD 10        Qwen3.8 Flash               1.4656              0.00682   medium
37   Ollama Pro                             USD 20        DeepSeek V4 Pro             1.4094              0.01419   medium
38   OpenCode Go                            USD 10        Omen Alpha                  1.3155              0.0076    medium
39   GLM Coding Lite (v3 ¥118) Off-peak     CNY 118       GLM 5.3 Flash               1.283               0.01357   high
40   GLM Coding Lite (v2 ¥49) Off-peak      CNY 49        GLM 5.3 Flash               1.283               0.00563   high
41   GLM Coding Pro (v2 ¥149) Peak          CNY 149       GLM 5.3                     1.27                0.01731   high
42   Command Code GOAT                      USD 10        MiMo V2.5 Pro               1.2573              0.00795   medium
43   Command Code GOAT                      USD 10        MiMo V2.6 Pro               1.2573              0.00795   medium
44   Cursor Pro (Standard)                  USD 20        Composer 2.5                1.2084              0.01655   medium
45   Command Code GOAT                      USD 10        Qwen3.8 27B                 1.2048              0.0083    medium
46   ChatGPT Plus                           USD 20        GPT 5.6 Terra               1.2012              0.01665   medium
47   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99  MiMo V2.6 Flash             1.177               0.01359   medium
48   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99  MiMo V2.5                   1.177               0.01359   medium
49   Command Code GOAT                      USD 10        GLM 5.3 Flash               1.1687              0.00856   medium
50   Step Plan Plus (¥99)                   CNY 99        Step 5 Preview              1.1486              0.01272   high
51   OpenCode Go                            USD 10        Qwen3.7 Plus                1.1278              0.00887   medium
52   Command Code GOAT                      USD 10        Qwen3.8 Flash               0.9669              0.01034   medium
53   GLM Coding Lite (v3 ¥118) Midpoint     CNY 118       GLM 5.3 Flash               0.962               0.0181    high
54   GLM Coding Lite (v2 ¥49) Midpoint      CNY 49        GLM 5.3 Flash               0.962               0.00751   high
55   OpenCode Go                            USD 10        MiMo V2.5 Pro               0.9415              0.01062   medium
56   OpenCode Go                            USD 10        MiMo V2.6 Pro               0.9415              0.01062   medium
57   MiMo Token Plan Standard (Day)         $16 · CN ¥99  MiMo V2.6 Flash             0.941               0.017     medium
58   MiMo Token Plan Standard (Day)         $16 · CN ¥99  MiMo V2.5                   0.941               0.017     medium
59   Command Code GOAT                      USD 10        Step 3.5 Flash              0.8811              0.01135   medium
60   Step Plan Mini (¥49)                   CNY 49        Step 3.7 Flash              0.8779              0.00823   medium
61   OpenCode Go                            USD 10        MiniMax M3                  0.8677              0.01152   medium
62   OpenCode Go                            USD 10        MiniMax M2.7                0.8677              0.01152   medium
63   OpenCode Go                            USD 10        MiniMax M2.5                0.8677              0.01152   medium
64   Ollama Pro                             USD 20        MiniMax M2.7                0.8677              0.02305   medium
65   OpenCode Go                            USD 10        Qwen3.6 Plus                0.8571              0.01167   medium
66   Command Code GOAT                      USD 10        GPT 5.6 Luna                0.7143              0.014     medium
67   Command Code GOAT                      USD 10        MiniMax M3                  0.6797              0.01471   medium
68   SuperGrok                              USD 30        Grok 4.7                    0.672               0.04464   medium
69   GLM Coding Lite (v3 ¥118) Peak         CNY 118       GLM 5.3 Flash               0.642               0.02711   high
70   GLM Coding Lite (v2 ¥49) Peak          CNY 49        GLM 5.3 Flash               0.642               0.01126   high
71   ChatGPT Plus                           USD 20        GPT 5.6 Sol                 0.616               0.03247   medium
72   MiniMax Token Plan Plus                CNY 49        MiniMax M3                  0.6                 0.01205   high
73   MiniMax Token Plan Plus                CNY 49        MiniMax M2.7                0.6                 0.01205   medium
74   OpenCode Go                            USD 10        GPT 5.6 Luna                0.5357              0.01867   medium
75   SuperGrok                              USD 30        Grok 4.6                    0.509               0.05894   high
76   SuperGrok                              USD 30        Grok 4.5                    0.509               0.05894   medium
77   ChatGPT Plus                           USD 20        GPT 5.5                     0.4805              0.04162   medium
78   Cursor Pro                             USD 20        Grok 4.6                    0.47                0.04255   medium
79   Command Code GOAT                      USD 10        DeepSeek V4 Pro             0.4698              0.02129   medium
80   OpenCode Go                            USD 10        Hy4 Preview                 0.4436              0.02254   medium
81   MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39   MiMo V2.6 Flash             0.439               0.01367   medium
82   MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39   MiMo V2.5                   0.439               0.01367   medium
83   OpenCode Go                            USD 10        GLM 5.3 Flash               0.4383              0.02282   medium
84   Ollama Pro                             USD 20        MiniMax M3                  0.4338              0.0461    medium
85   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99  MiMo V2.6 Pro               0.432               0.03704   medium
86   MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99  MiMo V2.5 Pro               0.432               0.03704   medium
87   Cursor Pro (Composer Fast)             USD 20        Composer 2.5                0.4288              0.04664   medium
88   GLM Coding Lite (v3 ¥118) Off-peak     CNY 118       GLM 5.3                     0.423               0.04115   high
89   GLM Coding Lite (v2 ¥49) Off-peak      CNY 49        GLM 5.3                     0.423               0.01709   high
90   Command Code GOAT                      USD 10        Step 3.7 Flash              0.4226              0.02366   medium
91   Command Code GOAT                      USD 10        Qwen3.7 Plus                0.3579              0.02794   medium
92   OpenCode Go                            USD 10        DeepSeek V4 Pro             0.3524              0.02838   medium
93   MiMo Token Plan Lite (Day)             $6 · CN ¥39   MiMo V2.6 Flash             0.351               0.01709   medium
94   MiMo Token Plan Lite (Day)             $6 · CN ¥39   MiMo V2.5                   0.351               0.01709   medium
95   MiMo Token Plan Standard (Day)         $16 · CN ¥99  MiMo V2.6 Pro               0.346               0.04624   medium
96   MiMo Token Plan Standard (Day)         $16 · CN ¥99  MiMo V2.5 Pro               0.346               0.04624   medium
97   GLM Coding Lite (v3 ¥118) Midpoint     CNY 118       GLM 5.3                     0.317               0.05491   high
98   GLM Coding Lite (v2 ¥49) Midpoint      CNY 49        GLM 5.3                     0.317               0.0228    high
99   OpenCode Go                            USD 10        Kimi K2.6                   0.3151              0.03174   medium
100  Kimi Moderato †                        $19 · CN ¥99  Kimi K2.7 Code              0.314               0.06051   medium
101  Command Code GOAT                      USD 10        Hy4 Preview                 0.2957              0.03382   medium
102  Kimi Moderato †                        $19 · CN ¥99  Kimi K3                     0.29                0.06552   medium
103  Step Plan Mini (¥49)                   CNY 49        Step 5 Preview              0.2872              0.02517   medium
104  Command Code GOAT                      USD 10        Qwen3.6 Plus                0.2779              0.03598   medium
105  OpenCode Go                            USD 10        Kimi K2.7 Code              0.2731              0.03662   medium
106  Command Code GOAT                      USD 10        Kimi K2.7 Code              0.2731              0.03662   medium
107  Ollama Pro                             USD 20        Kimi K2.7 Code              0.2731              0.07323   medium
108  Ollama Pro                             USD 20        GLM 5.1                     0.2635              0.0759    medium
109  Command Code GOAT                      USD 10        DeepSeek V4 Flash Fast      0.2624              0.03811   medium
110  Command Code GOAT                      USD 10        GLM 5.2                     0.2341              0.04272   medium
111  GLM Coding Lite (v3 ¥118) Peak         CNY 118       GLM 5.3                     0.212               0.08211   high
112  GLM Coding Lite (v2 ¥49) Peak          CNY 49        GLM 5.3                     0.212               0.0341    high
113  OpenCode Go                            USD 10        GLM 5.2                     0.2007              0.04983   medium
114  OpenCode Go                            USD 10        GLM 5.1                     0.2007              0.04983   medium
115  Ollama Pro                             USD 20        GLM 5.3                     0.2007              0.09965   medium
116  Ollama Pro                             USD 20        GLM 5.2                     0.2007              0.09965   medium
117  Alibaba Cloud CN Coding Plan Pro       CNY 200       Qwen3.7 Plus                0.198               0.14901   medium
118  Command Code GOAT                      USD 10        Gemini 3.8 Flash            0.1954              0.05118   medium
119  Command Code GOAT                      USD 10        Gemini 3.7 Flash            0.1954              0.05118   medium
120  Command Code GOAT                      USD 10        Inkling Small               0.1779              0.05621   medium
121  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39   MiMo V2.6 Pro               0.161               0.03727   medium
122  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39   MiMo V2.5 Pro               0.161               0.03727   medium
123  ChatGPT Plus                           USD 20        GPT-6 Astra                 0.159               0.12579   high
124  SuperGrok Lite                         USD 10        Grok 4.6                    0.15                0.06667   low
125  Ollama Pro                             USD 20        Kimi K3                     0.1465              0.13652   medium
126  Command Code GOAT                      USD 10        Nemotron 3 Ultra            0.1446              0.06916   medium
127  MiMo Token Plan Lite (Day)             $6 · CN ¥39   MiMo V2.6 Pro               0.129               0.04651   medium
128  MiMo Token Plan Lite (Day)             $6 · CN ¥39   MiMo V2.5 Pro               0.129               0.04651   medium
129  Command Code GOAT                      USD 10        Muse Spark 1.3              0.1064              0.09398   medium
130  Command Code GOAT                      USD 10        Muse Spark 1.2              0.1064              0.09398   medium
131  Command Code GOAT                      USD 10        GPT 5.6 Sol                 0.1                 0.1       medium
132  Command Code GOAT                      USD 10        Inkling                     0.0993              0.1007    medium
133  Kimi Andante (CN) (v1) †               CNY 49        Kimi K2.7 Code              0.078               0.09267   medium
134  Command Code GOAT                      USD 10        GLM 5.3                     0.0669              0.14948   medium
135  Command Code GOAT                      USD 10        Qwen3.8 Max                 0.065               0.15385   medium
136  Command Code GOAT                      USD 10        Qwen3.8 Max 0902            0.065               0.15385   medium
137  Command Code GOAT                      USD 10        MiMo V2.6 Pro UltraSpeed    0.0629              0.15898   medium
138  Command Code GOAT                      USD 10        Qwen3.7 Max                 0.0581              0.17212   medium
139  OpenCode Go                            USD 10        Qwen3.7 Max                 0.0529              0.18904   medium
140  OpenCode Go                            USD 10        GLM 5.3                     0.0502              0.1992    medium
141  Command Code GOAT                      USD 10        Kimi K3                     0.0488              0.20492   medium
142  OpenCode Go                            USD 10        Qwen3.8 Max                 0.0487              0.20534   medium
143  Command Code GOAT                      USD 10        Kimi K2.7 Code HighSpeed    0.0455              0.21978   medium
144  OpenCode Go                            USD 10        Kimi K3                     0.0366              0.27322   medium
145  Command Code GOAT                      USD 10        Grok 4.7                    0.0363              0.27548   medium
146  Command Code GOAT                      USD 10        Grok 4.5                    0.0363              0.27548   medium
147  Command Code GOAT                      USD 10        Grok 4.6                    0.0363              0.27548   medium
148  Command Code GOAT                      USD 10        GLM 5.2 Fast                0.034               0.29412   medium
149  OpenCode Go                            USD 10        Grok 4.6                    0.0272              0.36765   medium
150  OpenCode Go                            USD 10        Grok 4.7                    0.0272              0.36765   medium
